# x_m,y_m,w_tr_right_m,w_tr_left_m
1358.654,-1259.624,6.000,6.000
1362.801,-1260.513,6.000,6.000
1366.942,-1261.430,6.000,6.000
1371.076,-1262.382,6.000,6.000
1375.209,-1263.333,6.000,6.000
1379.339,-1264.300,6.000,6.000
1383.459,-1265.309,6.000,6.000
1387.578,-1266.319,6.000,6.000
1391.698,-1267.330,6.000,6.000
1395.803,-1268.396,6.000,6.000
1399.909,-1269.462,6.000,6.000
1404.014,-1270.528,6.000,6.000
1408.108,-1271.638,6.000,6.000
1412.198,-1272.759,6.000,6.000
1416.289,-1273.879,6.000,6.000
1420.371,-1275.031,6.000,6.000
1424.447,-1276.205,6.000,6.000
1428.523,-1277.379,6.000,6.000
1432.594,-1278.570,6.000,6.000
1436.654,-1279.796,6.000,6.000
1440.715,-1281.022,6.000,6.000
1444.774,-1282.251,6.000,6.000
1448.819,-1283.528,6.000,6.000
1452.864,-1284.804,6.000,6.000
1456.909,-1286.081,6.000,6.000
1460.942,-1287.396,6.000,6.000
1464.971,-1288.722,6.000,6.000
1469.000,-1290.047,6.000,6.000
1473.021,-1291.396,6.000,6.000
1477.034,-1292.770,6.000,6.000
1481.047,-1294.143,6.000,6.000
1485.057,-1295.525,6.000,6.000
1489.054,-1296.945,6.000,6.000
1493.051,-1298.365,6.000,6.000
1497.048,-1299.785,6.000,6.000
1501.031,-1301.241,6.000,6.000
1505.013,-1302.702,6.000,6.000
1508.995,-1304.163,6.000,6.000
1512.970,-1305.643,6.000,6.000
1516.939,-1307.139,6.000,6.000
1520.908,-1308.634,6.000,6.000
1524.876,-1310.135,6.000,6.000
1528.835,-1311.657,6.000,6.000
1532.794,-1313.178,6.000,6.000
1536.753,-1314.700,6.000,6.000
1540.706,-1316.239,6.000,6.000
1544.657,-1317.781,6.000,6.000
1548.608,-1319.323,6.000,6.000
1552.556,-1320.873,6.000,6.000
1556.502,-1322.431,6.000,6.000
1560.447,-1323.989,6.000,6.000
1564.391,-1325.548,6.000,6.000
1568.331,-1327.118,6.000,6.000
1572.271,-1328.689,6.000,6.000
1576.212,-1330.259,6.000,6.000
1580.149,-1331.837,6.000,6.000
1584.085,-1333.418,6.000,6.000
1588.020,-1334.999,6.000,6.000
1591.955,-1336.583,6.000,6.000
1595.887,-1338.174,6.000,6.000
1599.819,-1339.764,6.000,6.000
1603.751,-1341.355,6.000,6.000
1607.679,-1342.955,6.000,6.000
1611.608,-1344.555,6.000,6.000
1615.536,-1346.156,6.000,6.000
1619.461,-1347.762,6.000,6.000
1623.385,-1349.373,6.000,6.000
1627.308,-1350.985,6.000,6.000
1631.231,-1352.598,6.000,6.000
1635.149,-1354.223,6.000,6.000
1639.066,-1355.849,6.000,6.000
1642.984,-1357.475,6.000,6.000
1646.897,-1359.111,6.000,6.000
1650.807,-1360.755,6.000,6.000
1654.718,-1362.398,6.000,6.000
1658.627,-1364.044,6.000,6.000
1662.528,-1365.709,6.000,6.000
1666.429,-1367.374,6.000,6.000
1670.330,-1369.039,6.000,6.000
1674.223,-1370.722,6.000,6.000
1678.114,-1372.412,6.000,6.000
1682.004,-1374.102,6.000,6.000
1685.891,-1375.800,6.000,6.000
1689.768,-1377.520,6.000,6.000
1693.646,-1379.239,6.000,6.000
1697.523,-1380.958,6.000,6.000
1701.387,-1382.709,6.000,6.000
1705.248,-1384.463,6.000,6.000
1709.110,-1386.218,6.000,6.000
1712.961,-1387.995,6.000,6.000
1716.803,-1389.793,6.000,6.000
1720.645,-1391.590,6.000,6.000
1724.482,-1393.397,6.000,6.000
1728.301,-1395.242,6.000,6.000
1732.120,-1397.088,6.000,6.000
1735.940,-1398.933,6.000,6.000
1739.827,-1400.628,6.000,6.000
1743.722,-1402.308,6.000,6.000
1747.616,-1403.989,6.000,6.000
1751.498,-1405.699,6.000,6.000
1755.370,-1407.430,6.000,6.000
1759.242,-1409.161,6.000,6.000
1763.108,-1410.906,6.000,6.000
1766.958,-1412.687,6.000,6.000
1770.808,-1414.467,6.000,6.000
1774.655,-1416.252,6.000,6.000
1778.469,-1418.108,6.000,6.000
1782.283,-1419.964,6.000,6.000
1786.097,-1421.820,6.000,6.000
1789.885,-1423.729,6.000,6.000
1793.670,-1425.643,6.000,6.000
1797.455,-1427.557,6.000,6.000
1801.218,-1429.514,6.000,6.000
1804.977,-1431.479,6.000,6.000
1808.736,-1433.444,6.000,6.000
1812.479,-1435.439,6.000,6.000
1816.216,-1437.444,6.000,6.000
1819.954,-1439.449,6.000,6.000
1823.680,-1441.475,6.000,6.000
1827.402,-1443.510,6.000,6.000
1831.124,-1445.544,6.000,6.000
1834.824,-1447.617,6.000,6.000
1838.519,-1449.701,6.000,6.000
1842.213,-1451.785,6.000,6.000
1845.742,-1454.137,6.000,6.000
1849.264,-1456.500,6.000,6.000
1852.779,-1458.875,6.000,6.000
1856.273,-1461.279,6.000,6.000
1859.768,-1463.683,6.000,6.000
1863.246,-1466.110,6.000,6.000
1866.721,-1468.543,6.000,6.000
1870.202,-1470.966,6.000,6.000
1873.691,-1473.377,6.000,6.000
1877.177,-1475.794,6.000,6.000
1880.647,-1478.233,6.000,6.000
1884.117,-1480.673,6.000,6.000
1887.582,-1483.119,6.000,6.000
1891.040,-1485.575,6.000,6.000
1894.463,-1488.080,6.000,6.000
1897.886,-1490.585,6.000,6.000
1901.308,-1493.091,6.000,6.000
1904.758,-1495.558,6.000,6.000
1908.208,-1498.026,6.000,6.000
1911.654,-1500.498,6.000,6.000
1915.107,-1502.962,6.000,6.000
1918.589,-1505.384,6.000,6.000
1922.270,-1507.476,6.000,6.000
1926.060,-1509.380,6.000,6.000
1929.888,-1511.206,6.000,6.000
1933.800,-1512.844,6.000,6.000
1937.774,-1514.324,6.000,6.000
1941.826,-1515.574,6.000,6.000
1945.934,-1516.625,6.000,6.000
1950.085,-1517.495,6.000,6.000
1954.281,-1518.110,6.000,6.000
1958.503,-1518.499,6.000,6.000
1961.259,-1516.120,6.000,6.000
1958.328,-1513.067,6.000,6.000
1955.211,-1510.190,6.000,6.000
1952.039,-1507.374,6.000,6.000
1948.824,-1504.608,6.000,6.000
1945.582,-1501.873,6.000,6.000
1942.321,-1499.161,6.000,6.000
1938.979,-1496.549,6.000,6.000
1935.633,-1493.942,6.000,6.000
1932.274,-1491.352,6.000,6.000
1928.913,-1488.765,6.000,6.000
1925.537,-1486.197,6.000,6.000
1922.161,-1483.629,6.000,6.000
1918.789,-1481.056,6.000,6.000
1915.419,-1478.480,6.000,6.000
1912.038,-1475.920,6.000,6.000
1908.589,-1473.452,6.000,6.000
1905.140,-1470.983,6.000,6.000
1901.656,-1468.564,6.000,6.000
1898.156,-1466.167,6.000,6.000
1894.650,-1463.781,6.000,6.000
1891.101,-1461.457,6.000,6.000
1887.553,-1459.134,6.000,6.000
1883.982,-1456.845,6.000,6.000
1880.387,-1454.593,6.000,6.000
1876.793,-1452.341,6.000,6.000
1873.168,-1450.139,6.000,6.000
1869.533,-1447.954,6.000,6.000
1865.898,-1445.768,6.000,6.000
1862.229,-1443.640,6.000,6.000
1858.559,-1441.514,6.000,6.000
1854.886,-1439.392,6.000,6.000
1851.187,-1437.316,6.000,6.000
1847.488,-1435.241,6.000,6.000
1843.772,-1433.197,6.000,6.000
1839.934,-1431.392,6.000,6.000
1836.096,-1429.586,6.000,6.000
1832.258,-1427.781,6.000,6.000
1828.409,-1426.000,6.000,6.000
1824.559,-1424.219,6.000,6.000
1820.709,-1422.439,6.000,6.000
1816.857,-1420.662,6.000,6.000
1813.005,-1418.887,6.000,6.000
1809.153,-1417.112,6.000,6.000
1805.306,-1415.326,6.000,6.000
1801.461,-1413.535,6.000,6.000
1797.616,-1411.744,6.000,6.000
1793.769,-1409.958,6.000,6.000
1789.919,-1408.178,6.000,6.000
1786.068,-1406.399,6.000,6.000
1782.221,-1404.614,6.000,6.000
1778.386,-1402.802,6.000,6.000
1774.550,-1400.991,6.000,6.000
1770.715,-1399.179,6.000,6.000
1766.881,-1397.365,6.000,6.000
1763.047,-1395.550,6.000,6.000
1759.214,-1393.736,6.000,6.000
1755.386,-1391.907,6.000,6.000
1751.562,-1390.074,6.000,6.000
1747.737,-1388.241,6.000,6.000
1743.917,-1386.397,6.000,6.000
