# x_m,y_m,w_tr_right_m,w_tr_left_m
1510.470,-378.437,7.000,7.000
1513.184,-384.121,7.000,7.000
1515.501,-389.191,7.000,7.000
1517.511,-393.787,7.000,7.000
1519.406,-398.293,7.000,7.000
1521.185,-402.800,7.000,7.000
1522.888,-407.229,7.000,7.000
1524.463,-411.556,7.000,7.000
1525.948,-415.794,7.000,7.000
1527.343,-419.980,7.000,7.000
1528.598,-424.128,7.000,7.000
1529.712,-428.276,7.000,7.000
1530.608,-432.424,7.000,7.000
1531.363,-436.572,7.000,7.000
1531.965,-440.720,7.000,7.000
1532.298,-445.022,7.000,7.000
1532.272,-449.528,7.000,7.000
1531.862,-454.239,7.000,7.000
1530.966,-459.155,7.000,7.000
1529.699,-464.174,7.000,7.000
1528.380,-468.988,7.000,7.000
1527.023,-473.596,7.000,7.000
1525.730,-478.013,7.000,7.000
1524.539,-482.276,7.000,7.000
1523.336,-486.540,7.000,7.000
1522.069,-490.854,7.000,7.000
1520.750,-495.220,7.000,7.000
1519.444,-499.560,7.000,7.000
1518.151,-503.861,7.000,7.000
1516.858,-508.163,7.000,7.000
1515.578,-512.503,7.000,7.000
1514.323,-516.907,7.000,7.000
1513.069,-521.413,7.000,7.000
1511.891,-525.945,7.000,7.000
1510.841,-530.452,7.000,7.000
1510.022,-534.856,7.000,7.000
1509.407,-539.157,7.000,7.000
1509.023,-543.369,7.000,7.000
1508.895,-547.530,7.000,7.000
1508.921,-551.678,7.000,7.000
1509.049,-555.826,7.000,7.000
1509.266,-559.974,7.000,7.000
1509.535,-564.122,7.000,7.000
1509.791,-568.270,7.000,7.000
1510.047,-572.418,7.000,7.000
1510.303,-576.566,7.000,7.000
1510.534,-580.714,7.000,7.000
1510.700,-584.861,7.000,7.000
1510.815,-589.009,7.000,7.000
1510.879,-593.157,7.000,7.000
1510.892,-597.305,7.000,7.000
1510.892,-601.453,7.000,7.000
1510.931,-605.601,7.000,7.000
1511.020,-609.749,7.000,7.000
1511.161,-613.910,7.000,7.000
1511.353,-618.122,7.000,7.000
1511.571,-622.385,7.000,7.000
1511.737,-626.699,7.000,7.000
1511.852,-631.065,7.000,7.000
1511.916,-635.405,7.000,7.000
1511.968,-639.694,7.000,7.000
1512.057,-643.931,7.000,7.000
1512.288,-648.156,7.000,7.000
1512.749,-652.407,7.000,7.000
1513.542,-656.759,7.000,7.000
1514.733,-661.253,7.000,7.000
1516.384,-665.875,7.000,7.000
1518.369,-670.547,7.000,7.000
1520.443,-675.323,7.000,7.000
1521.979,-680.533,7.000,7.000
1522.696,-686.102,7.000,7.000
1522.517,-692.068,7.000,7.000
1521.390,-698.457,7.000,7.000
1520.238,-704.538,7.000,7.000
1519.623,-710.094,7.000,7.000
1519.700,-715.138,7.000,7.000
1520.571,-719.670,7.000,7.000
1522.081,-723.818,7.000,7.000
1523.707,-727.966,7.000,7.000
1525.410,-732.114,7.000,7.000
1527.113,-736.262,7.000,7.000
1528.790,-740.410,7.000,7.000
1530.493,-744.571,7.000,7.000
1532.272,-748.782,7.000,7.000
1534.192,-752.994,7.000,7.000
1536.471,-757.091,7.000,7.000
1539.198,-760.983,7.000,7.000
1542.437,-764.593,7.000,7.000
1546.163,-767.820,7.000,7.000
1550.183,-770.674,7.000,7.000
1554.369,-773.261,7.000,7.000
1558.568,-775.655,7.000,7.000
1562.562,-777.946,7.000,7.000
1566.224,-780.404,7.000,7.000
1569.578,-783.195,7.000,7.000
1572.574,-786.280,7.000,7.000
1575.467,-789.583,7.000,7.000
1578.514,-793.027,7.000,7.000
1581.727,-796.548,7.000,7.000
1585.018,-800.158,7.000,7.000
1588.244,-804.012,7.000,7.000
1591.201,-808.198,6.438,6.438
1594.018,-812.781,6.181,6.181
1596.719,-817.685,6.207,6.207
1599.369,-822.806,6.376,6.376
1601.994,-828.029,6.600,6.600
1604.400,-833.291,6.667,6.667
1606.385,-838.309,6.547,6.547
1608.075,-843.161,6.364,6.364
1609.598,-847.872,6.159,6.159
1610.968,-852.405,5.979,5.979
1612.363,-856.924,5.920,5.920
1613.746,-861.469,5.908,5.908
1614.962,-865.962,5.884,5.884
1615.999,-870.417,5.853,5.853
1616.895,-874.847,5.846,5.846
1617.561,-879.174,5.828,5.828
1618.035,-883.437,5.788,5.788
1618.291,-887.649,5.743,5.743
1618.329,-891.810,5.686,5.686
1618.163,-895.958,5.586,5.586
1617.868,-900.106,5.509,5.509
1617.497,-904.254,5.483,5.483
1617.036,-908.402,5.445,5.445
1616.511,-912.550,5.462,5.462
1615.897,-916.736,5.518,5.518
1615.116,-920.987,5.568,5.568
1614.194,-925.339,5.643,5.643
1613.132,-929.795,5.746,5.746
1611.877,-934.365,5.833,5.833
1610.405,-939.089,5.913,5.913
1608.728,-943.890,5.952,5.952
1606.820,-948.780,5.951,5.951
1604.682,-953.876,5.915,5.915
1602.480,-958.984,5.876,5.876
1600.227,-964.054,5.868,5.868
1597.986,-969.123,5.851,5.851
1595.887,-973.963,5.847,5.847
1593.902,-978.571,5.851,5.851
1591.995,-983.078,5.812,5.812
1590.203,-987.482,5.785,5.785
1588.500,-991.860,5.821,5.821
1586.784,-996.367,5.861,5.861
1585.107,-1001.078,5.900,5.900
1583.456,-1005.994,5.948,5.948
1581.868,-1011.089,5.924,5.924
1580.409,-1016.287,5.885,5.885
1579.154,-1021.318,5.911,5.911
1578.104,-1026.247,6.033,6.033
1577.183,-1031.163,6.218,6.218
1576.338,-1036.118,6.437,6.437
1575.570,-1041.175,6.607,6.607
1574.801,-1046.385,6.616,6.616
1574.059,-1051.417,6.478,6.478
1573.457,-1056.192,6.312,6.312
1572.971,-1060.711,6.121,6.121
1572.587,-1064.974,5.960,5.960
1572.343,-1069.135,5.882,5.882
1572.203,-1073.283,5.845,5.845
1572.113,-1077.431,5.811,5.811
1572.075,-1081.579,5.807,5.807
1572.075,-1085.727,5.807,5.807
1572.075,-1089.875,5.807,5.807
1572.075,-1094.023,5.807,5.807
1572.075,-1098.171,5.807,5.807
1572.075,-1102.319,5.807,5.807
1572.075,-1106.467,5.807,5.807
1572.075,-1110.615,5.807,5.807
1572.075,-1114.763,5.807,5.807
1572.075,-1118.911,5.807,5.807
